버스정류장ARS번호,역명,주소,아침,점심,오후,저녁
9876,강북보건소.번2동주민센터,강북구,2092,848,2744,1432
9878,강북구민운동장.4단지,강북구,2100,902,2685,1551
9779,강북보건소.번2동주민센터,강북구,3376,932,2610,933
9865,번동초등학교,강북구,12631,4308,17941,15471
9898,금강산병원.전자공단,강북구,996,474,1502,1312
9568,오현초등학교,강북구,958,604,1989,1980
9860,동문굿모닝힐,강북구,1101,507,2291,2884
9882,한양아파트입구.삼덕상운,강북구,2367,1022,3220,1777
9899,하나은행.새마을금고,강북구,6003,2950,9658,5441
9551,수유1동주민센터.파출소,강북구,2761,995,2300,947
9557,하나은행,강북구,2352,557,1329,692
9564,광성슈퍼,강북구,1586,354,877,448
9573,한신대신학대학원.화계사,강북구,2845,925,2012,486
9582,삼양탕,강북구,2619,455,1004,484
9783,광성슈퍼,강북구,1236,458,1790,1668
9789,수유1동주민센터.파출소,강북구,2373,1020,4033,3327
9811,성당앞,강북구,1038,578,1682,1085
9553,광산사거리,강북구,3775,1165,2934,1022
9560,강북구청,강북구,11424,3508,9678,5022
9599,쌍문교,강북구,1630,823,3245,3936
9500,우이동,강북구,3329,1295,3930,1548
9515,신성빌라,강북구,332,217,603,117
9531,강북청소년수련관,강북구,389,227,959,295
9862,국립4.19민주묘지,강북구,655,494,954,312
9871,강북청소년수련관,강북구,565,382,983,436
9877,신성빌라,강북구,758,373,1023,695
9803,송암교회.화계사거리,강북구,992,671,2947,3035
9821,유진슈퍼,강북구,477,316,1501,1870
9591,강북구의회.강북문화예술회관,강북구,3395,876,2386,602
9597,가오리,강북구,4347,1937,6080,4228
9829,강북구의회.강북문화예술회관,강북구,1293,640,1737,1579
9908,삼성래미안아파트,강북구,937,318,812,373
9909,성우아파트,강북구,430,94,210,86
9913,미아사거리역,강북구,7585,1968,3861,1163
9920,두산위브아파트,강북구,1059,354,915,439
9949,한영교회,강북구,380,269,1168,1197
9948,달팽이계단,강북구,315,447,940,407
9947,대성빌라정문,강북구,232,157,527,435
9946,신구한일아파트입구,강북구,490,350,1476,1296
9945,우일빌딩앞,강북구,996,458,1601,1799
9944,요진아파트,강북구,720,291,892,1216
9943,수유시장,강북구,1915,1285,4049,2418
9942,미아역1번출구,강북구,4724,1794,6341,5914
9941,미아역3번출구,강북구,8713,2177,7629,5766
9940,남양빌라,강북구,1706,200,364,118
9939,실버복지센터,강북구,173,21,71,17
9938,신구한일아파트입구,강북구,1096,159,356,87
9937,대성빌라정문,강북구,886,117,247,99
9936,달팽이계단,강북구,677,132,270,33
9934,한영교회,강북구,2103,368,786,214
9950,한국전력공사,강북구,5117,2450,7635,4669
10712,한국사회봉사회,강북구,726,346,711,351
10001,도봉산역,도봉구,54884,14336,48731,38734
10003,도봉한신아파트,도봉구,33618,9711,31023,22452
10005,서울북부지방법원.검찰청.도봉역성황당,도봉구,29085,9924,33504,21208
10007,신도봉사거리,도봉구,25346,7261,22850,15704
10009,도봉소방서.방학남부역,도봉구,43785,16505,54597,37280
10011,도봉보건소,도봉구,37755,9531,26422,11704
10012,도봉보건소.북한산아이파크아파트,도봉구,20322,7840,29308,25329
10013,도봉구민회관,도봉구,72412,19112,57760,35040
10015,쌍문역,도봉구,136071,40038,130545,97011
10017,우이1교앞,도봉구,41659,13208,42287,29809
10019,신도봉시장.도봉구청.방학북부역,도봉구,38531,12213,41193,27246
10103,도봉동한신아파트,도봉구,2481,921,2815,1326
10107,서울북부지방법원.검찰청.도봉역성황당,도봉구,9572,3469,11522,7021
10109,도봉견인차량보관소,도봉구,3400,1185,3396,2003
10111,방학역,도봉구,2379,537,1490,1069
10113,도봉소방서,도봉구,4792,1811,5374,3329
10115,방학사거리.바로선병원,도봉구,2569,1024,3164,2334
10116,방학사거리,도봉구,3766,954,2982,981
10117,도봉보건소,도봉구,1012,358,1029,504
10119,함석헌기념관.정의여중고,도봉구,21291,4372,12297,6361
10121,도봉구민회관,도봉구,14629,5250,16807,10342
10124,쌍문역.쌍문역골목시장,도봉구,64810,14822,38035,21089
10126,쌍문역,도봉구,53986,18079,82133,90192
10127,우이1교앞,도봉구,11444,2742,9898,7852
10129,서울북부지방법원.검찰청.성우아파트,도봉구,6408,2241,6964,4350
10131,도봉시장,도봉구,4569,1497,4496,2819
10133,도봉구청,도봉구,9240,4046,13348,7828
10135,방학1동대상타운현대삼성아파트,도봉구,6320,2575,8668,5842
10137,창동쌍용.성원아파트,도봉구,5163,1942,8881,9748
10138,창동쌍용아파트,도봉구,14736,3272,8058,2645
10139,자운고등학교앞,도봉구,9635,2323,9566,4068
10141,창동동아청솔아파트,도봉구,10554,3265,8861,4191
10143,창동농협물류센터,도봉구,17413,8844,29191,13396
10146,창동역동측,도봉구,9701,2962,10655,8003
10147,창동동아아파트,도봉구,4293,1346,4519,2525
10149,창동주공19단지,도봉구,5333,1178,4688,2572
10151,창동주공18단지,도봉구,4696,1299,3983,2881
10153,도봉산입구,도봉구,4333,4126,14463,1772
10154,도봉고등학교,도봉구,14121,4783,13694,5511
10156,도봉역,도봉구,5127,2230,6649,4174
10158,노원교,도봉구,1708,679,2363,1717
10160,성대야구장노원교앞,도봉구,1677,657,2410,2104
10161,천주교도봉동교회,도봉구,5693,2235,6945,4281
10163,오봉초등학교,도봉구,3010,1128,3686,2366
10165,방학2동공영주차장,도봉구,4657,1614,5326,4141
10167,방학2동주민센터,도봉구,11008,3490,10830,7666
10173,방학동신우빌라,도봉구,4249,1669,4779,3454
10175,방학동삼익세라믹,도봉구,4977,1684,5365,4147
10177,쌍문동청구아파트,도봉구,4691,2030,6998,5934
10179,샘말어린이공원,도봉구,5091,1032,2091,515
10180,원약국,도봉구,8820,2392,7418,5752
10182,신한은행방학동지점,도봉구,2095,918,2641,1340
10184,연산군.정의공주묘,도봉구,5449,2461,6961,3322
10185,연산군정의공주묘,도봉구,4563,1805,5086,3082
10186,방학동신동아타워,도봉구,17484,5831,16144,9684
10188,방학3동신동아프라자,도봉구,10886,2918,7688,4030
10189,방학동신동아아파트,도봉구,21939,6631,19056,12979
10191,국민은행방학지점,도봉구,21839,8379,26555,16811
10193,신한은행방학동지점,도봉구,22350,7220,22653,15174
10195,방학사거리,도봉구,18340,7080,24086,16645
10197,서울문화고등학교,도봉구,8466,2657,10305,5285
10200,쌍문동청한빌라,도봉구,8961,3513,11865,6576
10202,쌍문동우이빌라,도봉구,2883,1097,3367,2285
10204,초당초등학교,도봉구,15158,4306,12561,9605
10206,방학동우성아파트,도봉구,6307,1713,3787,1380
10207,방학동우성.청구아파트,도봉구,2905,1141,5098,6227
10208,방학3동신동아프라자,도봉구,1135,412,1567,1310
10209,방학3동주민센터,도봉구,12368,2968,7229,3262
10210,쌍문동성원아파트,도봉구,11705,3919,13405,8725
10212,쌍문동한양.현대아파트,도봉구,15966,3902,7714,2994
10213,쌍문동현대.한양아파트,도봉구,6371,2577,11250,13365
10214,쌍문동삼익금호1차아파트,도봉구,20280,5111,11918,4570
10215,쌍문동금호1차삼익아파트,도봉구,7194,4336,20095,20339
10216,도봉구보건소앞,도봉구,27304,11167,34868,22463
10218,북서울교회,강북구,3405,1953,7462,5616
10219,서라벌중학교.우이동대우아파트,도봉구,7106,3144,11903,8685
10221,덕성여대입구,도봉구,8865,4867,15195,8783
10222,쌍문초등학교,도봉구,6959,2405,7831,4643
10224,숭미초등학교,도봉구,9120,3170,9707,6270
10226,둘리뮤지엄.대우이안극동아파트,도봉구,11976,3875,13294,8567
10228,창동주공1단지,도봉구,2327,994,3254,2452
10229,창동주공1단지아파트,도봉구,1132,324,1069,453
10231,서울북부지방법원등기국,도봉구,1261,445,1465,504
10231,도봉등기소,도봉구,1991,764,2712,1240
10234,창동역서측,도봉구,14697,6432,24240,18581
10235,창4동주민센터,도봉구,2419,830,2732,1283
10241,창동주공4단지,도봉구,14968,5186,15940,11420
10244,도봉문화정보도서관,도봉구,3927,1697,6084,4499
10246,창림초교창동신창아파트앞,도봉구,17615,4255,13910,10767
10248,국립현대미술관창동레지던시,도봉구,26529,8804,26042,18126
10250,창동서울탁주앞,도봉구,28386,9167,29191,20936
10252,창2동주민센터.보건지소,도봉구,10021,2538,8310,6882
10256,중앙약국,도봉구,1093,365,1074,639
10258,한신아파트101동앞,도봉구,428,217,699,444
10259,KT도봉지점,도봉구,868,177,612,294
10260,창동청구빌라,도봉구,3175,1022,3389,2622
10262,창동대우아파트입구,도봉구,4500,1168,3804,2538
10264,창동대우아파트,도봉구,6859,1869,5538,3330
10265,창동역동측(도봉방면),도봉구,41404,13221,46718,37423
10266,창동역동측(노원방면),도봉구,27394,11818,39442,27633
10269,서울가든아파트앞,도봉구,269,94,242,186
10270,창1동주민센터,도봉구,656,212,920,572
10272,창동주공3단지,도봉구,776,150,832,597
10276,세그루학원,도봉구,32051,8271,36011,24068
10278,창동주공17단지,도봉구,10123,3070,10354,7207
10280,창3동염광아트빌,도봉구,6604,1875,6139,4278
10282,한승미메이드아파트,도봉구,4635,1478,4792,3276
10284,북서울농협창동지점,도봉구,4222,1416,4869,3631
10286,신화초교입구,도봉구,4657,1836,4557,3422
10294,방학동도깨비시장입구,도봉구,1415,483,1243,712
10295,거성학마을아파트,도봉구,1521,388,778,419
10296,도봉새마을금고본점,도봉구,1137,358,874,570
10297,창5동현대아파트,도봉구,1239,455,1463,777
10298,창5동현대1차아파트,도봉구,2547,1021,3914,2640
10299,창동아이파크,도봉구,8421,1727,5259,2198
10302,방학3동주민센터,도봉구,4954,2081,8225,8199
10303,도봉동서광아파트,도봉구,1160,387,1275,614
10304,정병원,도봉구,3707,991,2770,1034
10305,창동고등학교,도봉구,2337,578,1903,707
10306,정의여중고입구,도봉구,3264,667,3946,1090
10309,도깨비시장,도봉구,4471,2396,8544,6392
10310,방학동도깨비시장,도봉구,5455,2277,6078,2225
10311,태영데시앙아파트,도봉구,4880,1122,2795,1605
10312,창번교앞,도봉구,682,284,1312,1758
10313,금용아파트,도봉구,1347,223,725,356
