X좌표값,Y좌표값,사용월,호선명,자치구,지하철역,아침,점심,오후,저녁
126.8528896,37.52022312,202104,2호선,양천구,신정네거리,61474,24724,72014,24613
126.9369808,37.55519907,202104,2호선,마포구,신촌,186972,47059,177133,122353
126.8657224,37.51238887,202104,2호선,양천구,양천구청,463493,192117,631285,418107
126.9561464,37.55740618,202104,2호선,마포구,아현,180297,51748,182375,111428
127.0371034,37.56126836,202104,2호선,성동구,왕십리,123939,30845,112098,82448
126.8966774,37.52583053,202104,2호선,영등포구,영등포구청,989563,188135,900663,447703
127.0508918,37.56212458,202104,2호선,성동구,용답,426712,100329,413192,215453
127.0382757,37.57406213,202104,2호선,동대문구,용두,214620,73303,278157,196337
126.9909856,37.5662906,202104,2호선,중구,을지로3가,46308,14818,48467,29962
126.9976321,37.5666405,202104,2호선,중구,을지로4가,41983,13948,45747,20861
126.982193,37.56603732,202104,2호선,중구,을지로입구,377177,76918,385282,198145
126.9464318,37.55681472,202104,2호선,마포구,이대,228056,62632,247129,87739
127.1002288,37.51331286,202104,2호선,송파구,잠실,713568,146462,701127,335730
127.1038087,37.52071241,202104,2호선,송파구,잠실나루,196890,76196,230717,139527
127.0863143,37.51162636,202104,2호선,송파구,잠실새내,1012774,327395,1251410,834952
127.0738494,37.51114466,202104,2호선,송파구,종합운동장,262169,74108,240160,125296
126.9644932,37.55976239,202104,2호선,서대문구,충정로,326712,104438,382906,259053
127.0436398,37.55571599,202104,2호선,성동구,한양대,133976,39904,155730,98035
127.1182627,37.49309925,202104,3호선,송파구,가락시장,198119,44532,179905,91949
126.9144563,37.54991226,202104,2호선,마포구,합정,154392,55762,158196,70893
126.9237786,37.55687074,202104,2호선,마포구,홍대입구,452439,151321,599412,432827
127.005121,37.50454705,202104,3호선,서초구,고속터미널,618190,296409,1099960,810270
127.1244824,37.49600492,202104,3호선,송파구,경찰병원,156861,46436,167944,84850
126.9736914,37.57580612,202104,3호선,종로구,경복궁,332423,94045,379125,185592
127.0158292,37.54826272,202104,3호선,성동구,금호,149414,33157,121674,68817
126.9188528,37.63643579,202104,3호선,은평구,구파발,543469,280407,908394,488238
127.0162003,37.48519963,202104,3호선,서초구,남부터미널,177946,51876,225521,118744
127.0632034,37.49449665,202104,3호선,강남구,대치,375332,97263,333160,217094
126.935828,37.60080677,202104,3호선,은평구,녹번,141210,40068,139193,91115
127.079527,37.49370832,202104,3호선,강남구,대청,520350,138845,558886,270424
127.0053149,37.55905402,202104,3호선,중구,동대입구,269810,58517,215765,164929
127.0554977,37.49097578,202104,3호선,강남구,도곡,162965,41407,170337,95792
127.0467114,37.48693947,202104,3호선,강남구,매봉,164407,55613,197280,130077
126.957916,37.57446808,202104,3호선,서대문구,독립문,103700,26366,100460,51059
126.950231,37.58256323,202104,3호선,서대문구,무악재,144587,44378,134465,61361
126.9303158,37.6100478,202104,3호선,은평구,불광,147874,43045,166740,75523
127.1044698,37.48529511,202104,3호선,강남구,수서,226556,46807,222124,110395
127.0203108,37.51643507,202104,3호선,강남구,신사,70863,17793,65829,45323
126.9854237,37.57650012,202104,3호선,종로구,안국,307327,95118,306576,180817
127.0285087,37.52649218,202104,3호선,강남구,압구정,298293,90775,319291,178363
