호선명	자치구	지하철역	07시-08시	08시-09시	09시-10시	10시-11시	11시-12시	12시-13시	13시-14시	14시-15시	15시-16시	16시-17시	17시-18시	18시-19시	19시-20시	20시-21시	21시-22시	22시-23시	23시-24시
9호선	강서구	개화	16346	13668	5566	4174	4108	4744	4259	4053	4702	5696	8631	11405	7388	4258	3414	2204	1078
9호선	서초구	고속터미널	32433	44708	39618	37175	40806	43103	46926	48860	53416	58511	65090	74038	53961	39823	32021	30093	8342
9호선	강서구	공항시장	10593	13700	8733	7748	7185	7713	8198	8057	8603	9902	11290	14095	11898	8277	6629	6920	3549
9호선	서초구	구반포	8244	12581	8932	6653	7013	7903	9270	8300	9003	9915	11745	15975	9915	6261	5584	5917	1867
9호선	영등포구	국회의사당	44243	150130	64916	27076	25549	25167	28513	28733	29369	32781	67013	121351	41638	23779	23634	18979	3226
9호선	강서구	김포공항	28401	36125	30079	27106	31235	32105	38318	38855	39110	39066	47387	52722	35631	24096	20425	13952	3019
9호선	동작구	노들	18132	23630	13461	10460	9091	9843	10565	9974	11294	12252	14894	21474	15669	9652	8760	9285	3522
9호선	동작구	노량진	104522	155737	83768	53864	49775	62015	68093	57518	61101	71271	101731	140324	87910	65452	71109	81228	21429
9호선	영등포구	당산	63722	96831	52794	36224	37416	40125	41394	40204	42816	49659	70295	109694	70769	47238	46057	49832	15458
9호선	동작구	동작	6846	8703	5376	4496	4456	4371	4630	4858	4914	5459	6212	8396	4935	3149	3137	3591	1130
9호선	강서구	등촌	48664	67616	32390	23957	23535	25957	26984	25999	29089	31940	40484	58818	45800	25601	21203	22670	9414
9호선	강서구	마곡나루	39029	67441	33674	21127	20362	22884	24414	25178	27852	32855	48573	71273	45947	29214	28773	29130	9470
9호선	서초구	사평	14075	17520	8864	6714	7019	7516	8710	8009	9037	12677	13023	16466	11710	6599	5824	6560	1995
9호선	영등포구	샛강	19673	43716	17935	11130	11414	10888	11784	12683	12924	16170	25277	42188	17515	11561	11191	11925	2878
9호선	영등포구	선유도	30296	61416	26704	13502	14487	14747	16425	16755	17678	20867	29107	56336	29128	15380	13368	13284	4479
9호선	강남구	신논현	72905	132458	126884	76526	67771	71820	81611	79953	84401	98989	130736	196719	128115	79177	86770	88440	15527
9호선	양천구	신목동	20723	23248	10528	7193	7455	7684	8217	7644	8230	10620	13501	19553	14271	7803	8005	8305	3157
