구,업종,수
서대문구,예식/의례/관혼상제,17
마포구,예식/의례/관혼상제,16
양천구,예식/의례/관혼상제,9
강서구,예식/의례/관혼상제,10
구로구,예식/의례/관혼상제,17
금천구,예식/의례/관혼상제,9
영등포구,예식/의례/관혼상제,45
동작구,예식/의례/관혼상제,9
관악구,예식/의례/관혼상제,17
서초구,예식/의례/관혼상제,46
강남구,예식/의례/관혼상제,272
송파구,예식/의례/관혼상제,28
강동구,예식/의례/관혼상제,14
종로구,기타서비스업,84
중구,기타서비스업,112
용산구,기타서비스업,60
성동구,기타서비스업,41
광진구,기타서비스업,63
동대문구,기타서비스업,27
중랑구,기타서비스업,18
성북구,기타서비스업,36
강북구,기타서비스업,3
도봉구,기타서비스업,16
노원구,기타서비스업,20
은평구,기타서비스업,22
서대문구,기타서비스업,33
마포구,기타서비스업,81
양천구,기타서비스업,27
강서구,기타서비스업,60
구로구,기타서비스업,38
금천구,기타서비스업,53
영등포구,기타서비스업,194
동작구,기타서비스업,24
관악구,기타서비스업,24
서초구,기타서비스업,234
강남구,기타서비스업,567
송파구,기타서비스업,66
강동구,기타서비스업,27
종로구,대중목욕탕/휴게,24
중구,대중목욕탕/휴게,32
용산구,대중목욕탕/휴게,47
성동구,대중목욕탕/휴게,33
광진구,대중목욕탕/휴게,54
동대문구,대중목욕탕/휴게,48
중랑구,대중목욕탕/휴게,29
성북구,대중목욕탕/휴게,37
강북구,대중목욕탕/휴게,31
도봉구,대중목욕탕/휴게,21
노원구,대중목욕탕/휴게,33
은평구,대중목욕탕/휴게,40
서대문구,대중목욕탕/휴게,21
마포구,대중목욕탕/휴게,38
양천구,대중목욕탕/휴게,44
강서구,대중목욕탕/휴게,61
구로구,대중목욕탕/휴게,37
금천구,대중목욕탕/휴게,25
영등포구,대중목욕탕/휴게,56
동작구,대중목욕탕/휴게,34
관악구,대중목욕탕/휴게,49
서초구,대중목욕탕/휴게,55
강남구,대중목욕탕/휴게,118
송파구,대중목욕탕/휴게,46
강동구,대중목욕탕/휴게,49
종로구,세탁/가사서비스,154
중구,세탁/가사서비스,151
용산구,세탁/가사서비스,196
성동구,세탁/가사서비스,289
광진구,세탁/가사서비스,387
동대문구,세탁/가사서비스,323
중랑구,세탁/가사서비스,316
성북구,세탁/가사서비스,372
강북구,세탁/가사서비스,224
도봉구,세탁/가사서비스,246
노원구,세탁/가사서비스,345
은평구,세탁/가사서비스,326
서대문구,세탁/가사서비스,214
마포구,세탁/가사서비스,289
양천구,세탁/가사서비스,270
강서구,세탁/가사서비스,440
구로구,세탁/가사서비스,387
금천구,세탁/가사서비스,261
영등포구,세탁/가사서비스,358
동작구,세탁/가사서비스,270
관악구,세탁/가사서비스,440
서초구,세탁/가사서비스,447
강남구,세탁/가사서비스,659
송파구,세탁/가사서비스,542
강동구,세탁/가사서비스,406
종로구,물품기기대여,19
중구,물품기기대여,26
